so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;pra1;pra2;pdiff;pra0;
0.0;9103.198164680673;0.0;7585.998470567227;327.0;0.0;1.037673631847039;97.0;224.0;79.0;187.0;656.9999999999915;7871.790584139577;0.7454545454545455;0.8181818181818182;0.34094368340944126;1.9295454545454545;
0.0;7371.2026999843965;0.0;6142.668916653669;251.0;0.0;1.0277955376822412;104.0;213.0;86.0;178.0;518.0;6313.407701996048;0.7666666666666667;0.8404761904761905;0.4111969111969112;1.6238095238095238;
0.0;6725.578064185396;0.0;5604.648386821169;188.0;0.0;1.0007968294145908;76.0;156.99999999999963;62.0;131.0;367.0;5609.114335514227;0.7538461538461538;0.8846153846153846;0.42779291553133414;1.528205128205128;
;;;;;;;;;;;;;;;;;
