Filename: n5delta1311 / run at Thu Jan 23 11:58:14 CET 2014
fails: 13 / suboptimals: 0
Time horizon: 10numberOfPlants=5
seed=1337
deltaPenalties=1.3
deltaViolation=1.1
numberOfRuns=50
dominanceProperty=0
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;pra1;pra2;pdiff;pra0;
0.0;478.8380641928089;0.0;435.3073310843748;79.0;0.0;0.9999999999999988;43.0;104.0;29.0;80.0;164.99999999999747;435.3073310843743;0.7357142857142858;0.9;0.6303030303030399;1.3714285714285714;
0.0;10509.123725879912;0.0;9553.74884170901;121.0;0.0;1.0125766854905849;68.0;130.0;46.0;100.0;224.0;9673.903336147223;0.8117647058823529;1.035294117647059;0.5803571428571429;1.6352941176470588;
0.0;6170.867825125581;0.0;5609.879841023252;103.0;0.0;1.000002468267988;112.0;228.0;81.0;176.0;212.99999999999972;5609.8936877100805;1.46875;1.80625;1.070422535211269;1.7;
0.0;759.0874780885241;0.0;690.079525535026;124.0;0.0;1.0000000000000002;68.0;158.0;50.0;122.0;270.0000000000002;690.0795255350262;0.8235294117647058;1.0058823529411764;0.5851851851851847;1.5529411764705883;
0.0;1900.5147599005559;0.0;1727.7406908186867;112.0;0.0;1.0000000000000004;54.0;132.0;43.0;102.0;249.0;1727.7406908186877;0.8666666666666667;1.0533333333333332;0.5301204819277109;1.86;
0.0;433.3052744449128;0.0;393.9138858590045;114.0;0.0;1.000000000000001;96.0;213.0;76.0;164.0;247.0;393.91388585900495;1.19375;1.5125;0.8623481781376519;1.79375;
0.0;746.6498350874467;0.0;678.7725773522234;121.0;0.0;1.000000000000002;45.0;115.0;32.0;89.0;259.0;678.7725773522247;0.68125;0.8125;0.444015444015444;1.6875;
0.0;3822.080720617041;0.0;3474.618836924584;125.0;0.0;0.9999999999999992;115.0;222.0;88.0;172.0;243.0;3474.618836924581;1.2470588235294118;1.5529411764705883;0.9135802469135802;1.6352941176470588;
0.0;356.7392578939099;0.0;324.3084162671944;93.0;0.0;1.0000000000000004;75.0;151.0;60.0;126.0;197.0;324.3084162671945;1.0866666666666667;1.24;0.766497461928934;1.6066666666666667;
0.0;470.99073764967613;0.0;428.17339786334605;83.0;0.0;0.9999999999999998;36.0;99.0;27.0;78.0;205.0;428.17339786334594;0.62;0.7266666666666667;0.48292682926829267;1.3666666666666667;
0.0;716.5681992815919;0.0;651.4256357105451;127.0;0.0;0.9999999999999997;48.0;132.0;37.0;103.0;298.0;651.4256357105448;0.74375;0.88125;0.4429530201342282;1.88125;
0.0;202.1735104789778;0.0;183.79410043543623;90.0;0.0;0.9999999999999993;44.0;120.0;33.0;94.0;218.0;183.79410043543612;0.7066666666666667;0.84;0.5504587155963303;1.4933333333333334;
0.0;1551.1450368507758;0.0;1410.1318516825222;104.0;0.0;0.9999999999999987;52.0;104.0;36.0;80.0;192.0;1410.1318516825204;0.6529411764705882;0.8176470588235294;0.5416666666666666;1.388235294117647;
0.0;1555.7208175790363;0.0;1414.2916523445733;112.0;0.0;0.9999999999999997;66.0;144.0;48.0;111.0;236.0;1414.2916523445729;0.89375;1.08125;0.6101694915254238;1.66875;
0.0;1172.1192525051995;0.0;1065.562956822919;130.0;0.0;0.9999999999999993;88.0;193.0;62.0;149.0;274.0;1065.5629568229183;0.9411764705882353;1.2176470588235293;0.7043795620437956;1.7;
0.0;8655.340512826639;0.0;7868.491375296939;104.0;0.0;1.0000661075785986;85.0;167.0;61.0;129.0;194.0;7869.011542208984;0.96875;1.2625;0.8608247422680413;1.475;
0.0;15135.791313231228;0.0;13759.810284755657;95.0;0.0;1.0000000000000009;96.0;217.0;68.0;167.0;216.0;13759.810284755667;1.36;1.6466666666666667;1.0046296296296295;1.6466666666666667;
0.0;1125.8494032015205;0.0;1023.4994574559223;93.0;0.0;0.9999999999999996;55.0;122.0;42.0;97.0;210.0;1023.4994574559219;0.8333333333333334;0.9666666666666667;0.580952380952381;1.5933333333333333;
0.0;1226.7575363195324;0.0;1115.2341239268437;112.0;0.0;1.0000000000000002;48.0;123.0;35.0;95.0;258.0;1115.234123926844;0.74;0.8933333333333333;0.47674418604651164;1.7666666666666666;
0.0;1010.7196337461673;0.0;918.8360306783266;126.0;0.0;0.9999999999999996;74.0;171.0;59.0;133.0;275.0;918.8360306783261;0.93125;1.1;0.6218181818181818;1.83125;
0.0;2307.59575214983;0.0;2097.8143201362095;102.0;0.0;0.9999999999999991;55.0;132.00000000000006;42.0;102.0;240.0;2097.8143201362077;0.79375;0.98125;0.5500000000000003;1.6375;
0.0;15.667347815855237;0.0;14.243043468962924;118.0;0.0;0.999999999999968;61.0;139.0;43.0;107.0;250.0000000000042;14.243043468962469;0.81875;1.03125;0.5559999999999906;1.76875;
0.0;6186.681485600634;0.0;5624.255896000574;123.0;0.0;1.0117581133923235;113.0;242.0;82.0;187.0;258.0;5690.386534573192;1.45;1.775;0.937984496124031;1.8625;
0.0;391.701246832004;0.0;356.09204257454076;114.0;0.0;1.0000000000000013;64.0;131.0;50.0;101.0;227.0;356.0920425745412;0.8625;1.00625;0.5770925110132159;1.775;
0.0;2053.7808192524217;0.0;1867.0734720476487;100.0;0.0;1.0000000000000007;81.0;152.0;58.0;117.0;189.0;1867.07347204765;0.9625;1.23125;0.8042328042328042;1.43125;
0.0;1470.3045556475809;0.0;1336.6405051341662;129.0;0.0;1.0;78.0;173.0;59.0;136.99999999999997;287.0;1336.6405051341662;0.9176470588235294;1.1176470588235294;0.6027874564459931;1.8411764705882352;
0.0;1291.040769542944;0.0;1184.0485101663562;80.0;0.0;0.9999999999999984;27.0;86.0;20.0;67.0;194.0;1184.0485101663544;0.5928571428571429;0.6857142857142857;0.44329896907216493;1.5357142857142858;
0.0;23278.159654933777;0.0;21161.963322667074;88.0;0.0;1.0033766372807313;82.0;143.0;60.0;110.0;151.0;21233.41959695586;1.18;1.4733333333333334;0.9470198675496688;1.5466666666666666;
0.0;7731.818000312935;0.0;7028.92545482994;63.0;0.0;1.0000000000000002;55.0;119.0;38.0;92.0;135.0;7028.925454829941;0.8428571428571429;1.042857142857143;0.8814814814814815;1.1285714285714286;
0.0;7088.850205576949;0.0;6444.409277797228;74.0;0.0;0.9999999999999994;47.0;106.0;33.0;83.0;167.0;6444.409277797225;0.7785714285714286;0.9642857142857143;0.6347305389221557;1.4642857142857142;
0.0;1672.1926305797106;0.0;1520.1751187088284;135.0;0.0;1.0000000000000007;83.0;166.0;60.0;129.0;274.0;1520.1751187088294;0.9529411764705882;1.1941176470588235;0.6058394160583942;1.8823529411764706;
0.0;703.2467683554869;0.0;639.3152439595378;123.0;0.0;0.9999999999999943;64.0;147.0;48.0;114.0;262.0;639.3152439595342;0.88125;1.06875;0.5610687022900763;1.8875;
0.0;7335.554516570713;0.0;6668.685924155192;45.0;0.0;1.0000000000000082;25.0;53.0;17.0;41.0;88.0;6668.6859241552465;0.5846153846153846;0.7153846153846154;0.6022727272727273;1.146153846153846;
0.0;1358.6147147111642;0.0;1235.1042861010565;127.0;0.0;1.0000719067371293;56.0;110.0;42.0;86.0;240.0;1235.1930984202845;0.7058823529411765;0.8823529411764706;0.4583333333333333;1.7882352941176471;
0.0;11510.250017855797;0.0;10463.863652596237;83.0;0.0;1.019153175133452;52.0;111.00000000000014;39.0;86.0;170.0;10664.279865706976;0.7866666666666666;0.9266666666666666;0.652941176470589;1.3866666666666667;
0.0;988.153342504479;0.0;898.3212204586215;87.0;0.0;1.0000000000000002;53.0;135.0;37.0;105.0;207.0;898.3212204586217;0.8571428571428571;1.0357142857142858;0.6521739130434783;1.6285714285714286;
0.0;3056.1370721280455;0.0;2778.306429207316;89.0;0.0;0.9999999999999993;82.0;182.0;65.0;140.0;197.00000000000077;2778.306429207314;1.2733333333333334;1.54;0.923857868020301;1.64;
;;;;;;;;;;;;;;;;;
