Filename: n5delta1212spd / run at Thu Jan 23 19:45:53 CET 2014
fails: 10 / suboptimals: 0
Time horizon: 10numberOfPlants=5
seed=1337
deltaPenalties=1.2
deltaViolation=1.2
numberOfRuns=50
dominanceProperty=0
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;946.7772222493027;0.0;788.981018541072;114.0;0.0;1.0000000000000007;41.0;93.0;32.0;78.0;223.0;788.9810185410724;0.2;0.7125;0.25625;3.25;2.8780487804878048;0.4170403587443946;2.4210526315789473;
0.0;6652.071825277102;0.0;5543.393187730922;120.0;0.0;1.0222321109309334;70.0;136.0;53.0;114.0;219.0;5666.634520014337;0.31176470588235294;0.7058823529411765;0.4117647058823529;2.7735849056603774;2.4857142857142858;0.6210045662100456;2.25;
0.0;4080.1713673724953;0.0;3400.1428061437523;69.0;0.0;1.0722954349839011;63.0;159.0;51.0;133.0;168.0;3645.9576093212972;0.36428571428571427;0.4928571428571429;0.45;3.5098039215686274;3.1746031746031744;0.9464285714285714;3.0144927536231885;
0.0;427.0904233764586;0.0;355.9086861470496;124.0;0.0;0.9999999999999987;26.0;75.0;20.0;64.0;287.0;355.90868614704914;0.125;0.775;0.1625;3.95;3.3846153846153846;0.2613240418118467;2.2580645161290325;
0.0;1736.334465819647;0.0;1446.9453881830464;110.0;0.0;1.0328212181173337;55.0;120.99999999999999;42.0;101.0;215.0;1494.4358983724724;0.2625;0.6875;0.34375;3.119047619047619;2.8181818181818183;0.5627906976744186;2.4272727272727272;
0.0;353.8710964696221;0.0;294.8925803913561;49.0;0.0;1.0124562960214736;24.0;50.999999999999986;18.0;43.0;93.0;298.565849667247;0.13846153846153847;0.3769230769230769;0.18461538461538463;4.388888888888889;3.625;0.5483870967741934;3.061224489795918;
0.0;1264.480400562716;0.0;1053.7336671355993;75.0;0.0;1.0013092644541777;42.0;92.0;32.0;77.0;163.0;1055.1132831701502;0.21333333333333335;0.5;0.28;3.28125;2.857142857142857;0.5644171779141104;2.6533333333333333;
0.0;5202.846923564087;0.0;4335.70576963675;118.0;0.0;1.015261481094377;60.0;145.99999999999991;52.0;122.0;260.0;4401.875061270843;0.325;0.7375;0.375;2.5;2.533333333333333;0.5615384615384612;2.3135593220338984;
0.0;3823.1164948781034;0.0;3185.9304123984075;69.0;0.0;1.0071788264125414;31.0;80.0;24.0;67.0;154.0;3208.8016537914523;0.17142857142857143;0.4928571428571429;0.22142857142857142;3.9166666666666665;3.3870967741935485;0.5194805194805194;2.6666666666666665;
0.0;5205.475776918833;0.0;4337.896480765694;114.0;0.0;1.0321375684310135;68.0;158.0;58.0;132.0;248.00000000000028;4477.305925762954;0.3625;0.7125;0.425;2.4310344827586206;2.3676470588235294;0.6370967741935477;2.254385964912281;
