Filename: n10delta1312tpd / run at Fri Jan 24 00:57:08 CET 2014
fails: 38 / suboptimals: 0
Time horizon: 10numberOfPlants=10
seed=1337
deltaPenalties=1.3
deltaViolation=1.2
numberOfRuns=50
dominanceProperty=2
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;8292.301350174022;0.0;6910.25112514503;204.0;0.0;1.0000000000000009;157.0;971.0000000000007;68.0;767.0;1405.0;6910.251125145035;0.23448275862068965;0.7034482758620689;0.5413793103448276;3.3970588235294117;2.4904458598726116;0.6911032028469756;2.5833333333333335;
0.0;5713.562946853721;0.0;4761.302455711434;223.0;0.0;0.9999999999999998;181.0;1169.0;78.0;913.0;1560.0;4761.302455711433;0.25161290322580643;0.7193548387096774;0.5838709677419355;3.141025641025641;2.3922651933701657;0.7493589743589744;2.4484304932735426;
0.0;2967.5540657766996;0.0;2472.961721480585;209.0;0.0;1.0;200.0;1057.0;100.0;823.0;1409.0;2472.961721480585;0.3333333333333333;0.6966666666666667;0.6666666666666666;2.75;2.265;0.7501774308019872;2.5311004784688995;
0.0;5769.5447381852755;0.0;4807.953948487734;187.0;0.0;1.1601698351485292;142.0;1062.0;68.0;817.0;1316.0;5578.043139818735;0.23448275862068965;0.6448275862068965;0.4896551724137931;3.3676470588235294;2.591549295774648;0.8069908814589666;2.4973262032085564;
0.0;6260.951039075803;0.0;5217.459199229842;261.0;0.0;0.9999999999999997;188.0;1244.999999999999;94.0;961.0;1368.0;5217.45919922984;0.29375;0.815625;0.5875;2.882978723404255;2.372340425531915;0.910087719298245;2.1149425287356323;
0.0;15906.481172814674;0.0;13255.400977345562;211.0;0.0;1.0000000000000038;198.0;1113.0;136.0;1016.0;1123.0;13255.400977345613;0.4533333333333333;0.7033333333333334;0.66;2.6176470588235294;2.3585858585858586;0.9910952804986642;2.2843601895734595;
0.0;10253.030576893027;0.0;8544.19214741086;187.0;0.0;1.0;106.0;866.0;45.0;667.0;1332.0;8544.19214741086;0.15517241379310345;0.6448275862068965;0.36551724137931035;4.066666666666666;2.830188679245283;0.6501501501501501;2.6737967914438503;
0.0;7999.657814183101;0.0;6743.751806199744;135.0;0.0;1.000000000000009;120.0;775.0000000000003;40.0;601.0;930.0;6743.751806199806;0.14814814814814814;0.5;0.4444444444444444;4.575;2.725;0.8333333333333337;2.8222222222222224;
0.0;3290.7212431612516;0.0;2742.267702634374;153.0;0.0;0.9999999999999999;101.0;907.0;49.0;699.0;1186.0;2742.2677026343736;0.1814814814814815;0.5666666666666667;0.37407407407407406;4.26530612244898;3.217821782178218;0.7647554806070826;2.888888888888889;
0.0;7594.047849829761;0.0;6328.37320819147;203.0;0.0;1.0000000000000053;136.0;1006.0;50.0;781.0;1469.0;6328.373208191504;0.1724137931034483;0.7;0.4689655172413793;4.02;2.6323529411764706;0.6848196051735874;2.561576354679803;
0.0;6800.292104506958;0.0;5666.910087089128;204.0;0.0;1.0;205.0;1072.0;91.0;832.0;1402.0;5666.910087089128;0.30333333333333334;0.68;0.6833333333333333;2.9450549450549453;2.2829268292682925;0.7646219686162625;2.6029411764705883;
0.0;5048.388139390263;0.0;4206.990116158552;210.0;0.0;1.0000000000000007;158.0;990.0;57.0;762.0;1295.0;4206.990116158555;0.19;0.7;0.5266666666666666;3.754385964912281;2.5253164556962027;0.7644787644787645;2.466666666666667;
;;;;;;;;;;;;;;;;;;;;
