so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;3848.653000306883;0.0;3207.210833589067;186.0;0.0;1.0;151.0;975.0;86.0;816.0;1159.0000000000005;3207.210833589067;0.2866666666666667;0.62;0.5033333333333333;3.1627906976744184;2.5496688741721854;0.8412424503882654;2.510752688172043;
0.0;4529.707632300429;0.0;3774.75636025036;218.0;0.0;0.9999999999999999;181.0;1098.0;109.0;915.0;1315.0;3774.7563602503596;0.36333333333333334;0.7266666666666667;0.6033333333333334;2.889908256880734;2.4640883977900554;0.834980988593156;2.44954128440367;
0.0;21611.061051323057;0.0;18009.217542769216;164.0;0.0;1.0019874789411602;160.0;1137.0;73.0;948.0;1144.0;18045.010483382244;0.26071428571428573;0.5857142857142857;0.5714285714285714;4.054794520547945;2.81875;0.9938811188811189;2.792682926829268;
0.0;1536.5891466082603;0.0;1280.4909555068812;196.0;0.0;1.0000000000000013;84.0;832.0;51.0;694.0;1393.0000000000018;1280.490955506883;0.17586206896551723;0.6758620689655173;0.2896551724137931;3.843137254901961;3.142857142857143;0.5972720746590086;2.5918367346938775;
0.0;2405.821783424484;0.0;2004.8514861870722;174.0;0.0;0.9999999999999998;115.0;954.0;47.0;795.0;1408.999999999994;2004.8514861870717;0.16206896551724137;0.6;0.39655172413793105;4.319148936170213;2.8173913043478263;0.6770759403832534;2.793103448275862;
0.0;8541.796710142618;0.0;7118.503628700674;205.0;0.0;1.0000315176417516;189.0;1061.0;118.0;912.0;1106.0;7118.72798714785;0.38064516129032255;0.6612903225806451;0.6096774193548387;2.6779661016949152;2.386243386243386;0.9593128390596745;2.351219512195122;
0.0;5508.560594146478;0.0;4590.467161788737;188.0;0.0;1.0000459170988119;138.0;1009.0;92.0;841.0;1216.0;4590.677942722998;0.31724137931034485;0.6482758620689655;0.47586206896551725;3.010869565217391;2.6739130434782608;0.8297697368421053;2.473404255319149;
0.0;1352.5861754508164;0.0;1127.1551462090133;210.0;0.0;1.000000000000001;135.0;1014.0;71.0;847.0;1629.0000000000011;1127.1551462090147;0.23666666666666666;0.7;0.45;3.3380281690140845;2.5925925925925926;0.6224677716390419;2.6476190476190475;
0.0;13549.159389547682;0.0;11290.9661579564;198.0;0.0;1.0000000000000002;109.0;852.0;48.0;710.0;1270.0;11290.966157956404;0.16;0.66;0.36333333333333334;4.0;2.7155963302752295;0.6708661417322834;2.4797979797979797;
0.0;2317.4290648514634;0.0;1931.190887376215;153.0;0.0;1.0;72.0;692.0;39.0;577.0;1223.0;1931.190887376215;0.14444444444444443;0.5666666666666667;0.26666666666666666;4.435897435897436;3.3055555555555554;0.5658217497955846;2.9215686274509802;
0.0;9136.585021278655;0.0;7613.820851065528;213.0;0.0;0.999999999999998;154.0;994.0;85.0;829.0;1398.0;7613.820851065512;0.27419354838709675;0.6870967741935484;0.4967741935483871;3.0941176470588236;2.5194805194805197;0.7110157367668097;2.5586854460093895;
0.0;1695.178013471168;0.0;1412.6483445593076;175.0;0.0;1.000000000000002;101.0;893.0;58.0;756.0;1364.0;1412.6483445593103;0.2;0.603448275862069;0.3482758620689655;3.896551724137931;3.118811881188119;0.6546920821114369;2.902857142857143;
0.0;4063.7994832104287;0.0;3386.4995693420315;182.0;0.0;0.9999999999999992;185.0;1449.0;127.0;1208.0;1311.9999999999982;3386.4995693420287;0.4379310344827586;0.6275862068965518;0.6379310344827587;3.338582677165354;2.810810810810811;1.1044207317073187;2.82967032967033;
;;;;;;;;;;;;;;;;;;;;
