Filename: n5delta1312tpd / run at Thu Jan 23 20:45:17 CET 2014
fails: 13 / suboptimals: 0
Time horizon: 10numberOfPlants=5
seed=1337
deltaPenalties=1.3
deltaViolation=1.2
numberOfRuns=50
dominanceProperty=2
so1;v1;so0;v0;vc0;so2;vdiff;vc2;p2;vc1;p1;p0;v2;vcrel1;vcrel0;vcrel2;pra1;pra2;pdiff;pra0;
0.0;743.0224625745968;0.0;619.1853854504989;101.0;0.0;1.0;38.0;371.0;20.0;285.9999999999932;623.0;619.1853854504989;0.13333333333333333;0.6733333333333333;0.25333333333333335;4.1;3.1842105263157894;0.5955056179775281;2.4455445544554455;
0.0;4145.3289524844895;0.0;3454.4407937370725;106.0;0.0;1.0;75.0;456.0;33.0;364.0;707.0;3454.4407937370725;0.22;0.7066666666666667;0.5;3.272727272727273;2.453333333333333;0.6449787835926449;2.5283018867924527;
0.0;759.1018213951475;0.0;632.5848511626227;108.0;0.0;1.0000000000000013;83.0;515.0;45.0;397.0;764.0;632.5848511626236;0.3;0.72;0.5533333333333333;2.7777777777777777;2.325301204819277;0.6740837696335078;2.4722222222222223;
0.0;3722.921811450758;0.0;3102.4348428756302;114.0;0.0;0.9999999999999991;118.0;635.0;78.0;522.0;603.9999999998254;3102.4348428756275;0.4875;0.7125;0.7375;2.4871794871794872;2.2796610169491527;1.0513245033115621;2.289473684210526;
0.0;565.1883804084489;0.0;470.99031700703085;103.0;0.0;1.0;99.0;517.0;57.0;408.0;580.0;470.99031700703085;0.35625;0.64375;0.61875;2.526315789473684;2.2323232323232323;0.8913793103448275;2.2815533980582523;
0.0;6.1773037875400405;0.0;5.147753156269573;134.0;0.0;1.0000000000000884;105.0;548.0;53.0;425.0;847.0;5.147753156270028;0.31176470588235294;0.788235294117647;0.6176470588235294;2.7358490566037736;2.2476190476190476;0.6469893742621016;2.3805970149253732;
0.0;346.2554290415974;0.0;288.54619086799903;118.0;0.0;1.0000000000000016;84.0;508.0;37.0;394.0;828.0;288.5461908679995;0.23125;0.7375;0.525;3.027027027027027;2.3333333333333335;0.6135265700483091;2.4661016949152543;
0.0;6172.35017214774;0.0;5171.1988383964335;104.0;0.0;0.9999999999998058;102.0;640.0;63.0;563.0;639.9999999999864;5171.198838395429;0.39375;0.65;0.6375;3.2222222222222223;2.7450980392156863;1.0000000000000213;2.6923076923076925;
0.0;591.2383889686844;0.0;492.6986574738885;136.0;0.0;1.0000000000000009;83.0;465.0;45.0;381.0;757.0;492.69865747388894;0.2647058823529412;0.8;0.48823529411764705;2.7777777777777777;2.397590361445783;0.6142668428005285;2.301470588235294;
0.0;1641.0313732417562;0.0;1367.526144368131;76.0;0.0;0.9999999999999993;40.0;256.0;15.0;207.0;403.99999999999994;1367.5261443681302;0.10714285714285714;0.5428571428571428;0.2857142857142857;4.466666666666667;2.9;0.6336633663366338;2.5657894736842106;
0.0;3261.8315945403824;0.0;2718.1929954503344;114.0;0.0;1.0000000000000004;109.0;549.0;57.0;424.0;559.0;2718.1929954503353;0.35625;0.7125;0.68125;2.7017543859649122;2.2477064220183487;0.9821109123434705;2.236842105263158;
0.0;2422.9396367172385;0.0;2081.596950606805;80.0;0.0;1.0;45.0;317.0;25.0;244.0;465.0;2081.596950606805;0.17857142857142858;0.5714285714285714;0.32142857142857145;3.6;3.0;0.6817204301075269;2.675;
0.0;85.13223291335316;0.0;70.94352742780666;103.0;0.0;0.9999999999999936;78.0;467.0;41.0;363.0;706.0;70.9435274278062;0.2733333333333333;0.6866666666666666;0.52;3.0;2.448717948717949;0.6614730878186968;2.592233009708738;
0.0;2081.7387144800123;0.0;1734.7822620666927;83.0;0.0;1.0000000000000002;50.0;338.0;22.0;266.0;508.0;1734.7822620666932;0.15714285714285714;0.5928571428571429;0.35714285714285715;3.5454545454545454;2.52;0.6653543307086615;2.4096385542168677;
0.0;198.88969861296687;0.0;165.74141551079697;80.0;0.0;0.9999999999999959;28.0;292.0;14.0;226.0;497.0;165.7414155107963;0.1;0.5714285714285714;0.2;4.714285714285714;3.5714285714285716;0.5875251509054326;2.6;
0.0;2013.9357828934717;0.0;1678.2798190778958;90.0;0.0;1.0;71.0;390.0;34.0;311.0;467.0;1678.2798190778958;0.2125;0.5625;0.44375;3.323529411764706;2.704225352112676;0.8351177730192719;2.6;
0.0;4056.304707674864;0.0;3380.253923062373;100.0;0.0;1.0;67.0;447.0;26.0;344.0;600.0;3380.253923062373;0.17333333333333334;0.6666666666666666;0.44666666666666666;3.6923076923076925;2.611940298507463;0.745;2.43;
0.0;1588.203408786545;0.0;1323.5028406554584;105.0;0.0;0.9999999999999972;66.0;463.0;28.0;378.0;738.0;1323.5028406554547;0.175;0.65625;0.4125;3.642857142857143;2.6515151515151514;0.6273712737127372;2.580952380952381;
0.0;3216.053731828728;0.0;2680.044776523957;114.0;0.0;1.0000000000000013;108.0;576.0;71.0;475.0;561.0;2680.0447765239605;0.44375;0.7125;0.675;2.6338028169014085;2.388888888888889;1.0267379679144386;2.3157894736842106;
0.0;26.52958496151996;0.0;22.107987467943985;92.0;0.0;0.9999999999999795;67.0;429.0;42.0;330.0;630.0;22.10798746794353;0.28;0.6133333333333333;0.44666666666666666;2.9523809523809526;2.671641791044776;0.680952380952381;2.7282608695652173;
0.0;10070.488018421362;0.0;8392.073348684473;88.0;0.0;1.0008277412909667;60.0;348.0;47.0;268.0;463.0000000000006;8399.019814312;0.31333333333333335;0.5866666666666667;0.4;2.6382978723404253;2.6;0.7516198704103662;2.5454545454545454;
0.0;1009.1071323359756;0.0;840.9226102799794;106.0;0.0;1.0000000000000033;83.0;491.0;44.0;389.0;677.0;840.9226102799821;0.275;0.6625;0.51875;2.7954545454545454;2.3012048192771086;0.725258493353028;2.490566037735849;
0.0;1146.0285389186474;0.0;955.0237824322076;72.0;0.0;1.000000000000002;40.0;327.0;24.0;295.0;552.0;955.0237824322094;0.17142857142857143;0.5142857142857142;0.2857142857142857;3.9583333333333335;2.975;0.592391304347826;2.9583333333333335;
0.0;216.93393766579584;0.0;180.77828138814994;123.0;0.0;1.000000000000005;87.0;515.0;36.0;397.0;866.0;180.77828138815084;0.225;0.76875;0.54375;3.0277777777777777;2.1954022988505746;0.5946882217090069;2.3821138211382116;
0.0;994.2441154429189;0.0;828.5367628691001;143.0;0.0;1.0;99.0;533.0;51.0;411.00000000000085;794.0;828.5367628691001;0.3;0.8411764705882353;0.5823529411764706;2.7254901960784315;2.292929292929293;0.6712846347607053;2.237762237762238;
0.0;1319.2627248407907;0.0;1099.3856040339933;124.0;0.0;0.9999999999999976;78.0;516.0;36.0;409.0;616.0000000000002;1099.3856040339906;0.21176470588235294;0.7294117647058823;0.4588235294117647;3.25;2.5128205128205128;0.8376623376623373;2.193548387096774;
0.0;4098.190236211999;0.0;3415.158530176679;123.0;0.0;0.9999999999999996;94.0;639.0;56.0;495.0;834.0;3415.1585301766777;0.35;0.76875;0.5875;2.6607142857142856;2.372340425531915;0.7661870503597122;2.3333333333333335;
0.0;2093.928137521256;0.0;1744.940114601061;128.0;0.0;1.0000000000000002;96.0;552.0;47.0;427.0;614.0;1744.9401146010612;0.27647058823529413;0.7529411764705882;0.5647058823529412;2.74468085106383;2.2708333333333335;0.8990228013029316;2.140625;
0.0;2068.268165026663;0.0;1723.5568041888846;117.0;0.0;0.9999999999999989;108.0;627.0;57.0;499.0;642.9999999999999;1723.5568041888828;0.35625;0.73125;0.675;2.6491228070175437;2.1944444444444446;0.975116640746501;2.1538461538461537;
0.0;3128.196387136608;0.0;2606.8303226138396;126.0;0.0;0.9999999999999998;108.0;646.0;54.0;506.0;816.0;2606.830322613839;0.3176470588235294;0.7411764705882353;0.6352941176470588;2.7777777777777777;2.259259259259259;0.7916666666666666;2.3174603174603177;
0.0;2408.5848464344544;0.0;2007.154038695382;98.0;0.0;1.0000000000000027;103.0;520.0;60.0;404.0;488.0;2007.1540386953875;0.375;0.6125;0.64375;2.6333333333333333;2.3689320388349513;1.0655737704918034;2.3469387755102042;
0.0;382.4383396330369;0.0;318.6986163608757;131.0;0.0;0.9999999999999979;99.0;581.0;44.0;458.0;896.0;318.698616360875;0.25882352941176473;0.7705882352941177;0.5823529411764706;2.909090909090909;2.292929292929293;0.6484375;2.4427480916030535;
0.0;747.7096373522354;0.0;623.0913644602001;118.0;0.0;1.0000000000000004;113.0;607.0000000000005;73.0;521.0;616.9999999999905;623.0913644602005;0.45625;0.7375;0.70625;2.5616438356164384;2.2831858407079646;0.9837925445705183;2.288135593220339;
0.0;1118.886140039612;0.0;932.405116699687;81.0;0.0;1.0;67.0;364.0;35.0;280.0;366.00000000000136;932.405116699687;0.23333333333333334;0.54;0.44666666666666666;2.9714285714285715;2.537313432835821;0.9945355191256794;2.3580246913580245;
0.0;18.690628029375603;0.0;15.575523357812472;82.0;0.0;1.0;57.0;349.0;34.0;269.0;507.0;15.575523357812472;0.24285714285714285;0.5857142857142857;0.40714285714285714;3.3823529411764706;2.7719298245614037;0.6883629191321499;2.7804878048780486;
0.0;979.3729948746361;0.0;816.144162395542;105.0;0.0;1.0000000000000002;84.0;467.0;37.0;362.0;570.0;816.1441623955423;0.23125;0.65625;0.525;3.027027027027027;2.369047619047619;0.8192982456140351;2.3333333333333335;
0.0;6379.8609225347855;0.0;5316.550768778987;95.0;0.0;1.0;92.0;489.0;41.0;384.0;614.0000000000039;5316.550768778987;0.2733333333333333;0.6333333333333333;0.6133333333333333;3.024390243902439;2.2717391304347827;0.7964169381107442;2.473684210526316;
;;;;;;;;;;;;;;;;;;;;
